depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
0.000000000000000000e+00,4.591316690419894452e+21,7.304667771825819484e+20,3.860849913237312373e+21
3.500000000000000000e+00,4.479367386283389223e+21,4.150000000000015073e+20,4.064367386283387912e+21
6.187339305877689988e+00,4.395267508658933596e+21,2.688501159970754724e+20,4.126417392661858091e+21
1.225453662872310012e+01,4.211156415242373693e+21,1.008901778840221778e+20,4.110266237358351319e+21
1.379999999999999893e+01,2.984443102616050729e+21,7.860000000000022938e+19,2.905843102616050467e+21
1.832173347473139913e+01,1.089790959824043114e+21,5.534099740717226394e+19,1.034449962416870785e+21
2.438892936706540127e+01,5.008480941252664361e+20,3.456142793485089997e+19,4.662866661904155279e+20
2.460000000000000142e+01,4.894935679160602460e+20,3.399999999999988122e+19,4.554935679160603771e+20
3.045612716674800069e+01,2.590805636807649853e+20,2.972176467457930854e+19,2.293587990061856850e+20
3.479999999999999716e+01,1.707661493347167109e+20,2.689999999999997542e+19,1.438661493347167437e+20
3.652332305908200283e+01,1.447376260063864914e+20,2.607690866030637875e+19,1.186607173460801126e+20
4.259052276611330257e+01,8.859849743260893184e+19,2.337442509923155149e+19,6.522407233337738035e+19
4.519999999999999574e+01,7.495087640682779443e+19,2.229999999999995494e+19,5.265087640682784358e+19
4.883793258666990056e+01,5.936003793618491802e+19,2.084881665401866240e+19,3.851122128216625971e+19
5.490513229370120030e+01,4.173057844758723789e+19,1.863561348111301018e+19,2.309496496647422771e+19
5.530000000000000426e+01,4.089605933305422643e+19,1.849999999999999590e+19,2.239605933305423053e+19
6.097232437133789773e+01,3.059546355328566067e+19,1.691640216431972147e+19,1.367906138896593920e+19
6.529999999999999716e+01,2.530925195165218816e+19,1.580000000000001638e+19,9.509251951652171776e+18
6.703952789306640625e+01,2.345131638306684518e+19,1.545851397309008486e+19,7.992802409976760320e+18
7.310671997070309658e+01,1.804949382112900915e+19,1.432420226096749568e+19,3.725291560161513472e+18
7.550000000000000000e+01,1.616161770187909734e+19,1.390000000000005325e+19,2.261617701879044096e+18
7.917391967773440342e+01,1.364050716932856832e+19,1.319003449214876467e+19,4.504726771798036480e+17
8.524111175537109375e+01,1.150768330986172621e+19,1.150768330986172621e+19,0.000000000000000000e+00
8.579999999999999716e+01,1.136773475601801216e+19,1.136773475601801216e+19,0.000000000000000000e+00
9.130831146240230112e+01,1.007628189821831168e+19,1.007628189821831168e+19,0.000000000000000000e+00
9.590000000000000568e+01,8.569124043690121216e+18,8.569124043690121216e+18,0.000000000000000000e+00
